ID	Name	2013	2014	2015	2016
512	Arjen Robben	FC Bayern München	FC Bayern München	FC Bayern München	FC Bayern München	
511	Javi Martínez	FC Bayern München	FC Bayern München	FC Bayern München	FC Bayern München	
510	Franck Ribéry	FC Bayern München	FC Bayern München	FC Bayern München	FC Bayern München	
509	Dante	FC Bayern München	FC Bayern München	FC Bayern München	VfL Wolfsburg	
508	Manuel Neuer	FC Bayern München	FC Bayern München	FC Bayern München	FC Bayern München	
507	Andreas Laudrup	FC Nordsjælland	null	null	null	
506	Morten Nordstrand	FC Nordsjælland	null	null	null	
505	Anders Christiansen	FC Nordsjælland	null	null	null	
504	Ivan Runje	FC Nordsjælland	null	null	null	
503	Kasper Lorentzen	FC Nordsjælland	null	null	null	
502	Michael Parkhurst	FC Nordsjælland	null	null	null	
501	Søren Christensen	FC Nordsjælland	null	null	null	
500	Joshua John	FC Nordsjælland	null	null	null	
499	Mikkel Beckmann	FC Nordsjælland	null	null	null	
498	Patrick Mtiliga	FC Nordsjælland	null	null	null	
497	Nicolai Stokholm	FC Nordsjælland	null	null	null	
496	Enoch Adu	FC Nordsjælland	null	Malmö FF	null	
495	Jores Okore	FC Nordsjælland	null	null	null	
494	Jesper Hansen	FC Nordsjælland	null	null	null	
493	Alex Teixeira	FC Shakhtar Donetsk	FC Shakhtar Donetsk	FC Shakhtar Donetsk	FC Shakhtar Donetsk	
492	Douglas Costa	FC Shakhtar Donetsk	FC Shakhtar Donetsk	FC Shakhtar Donetsk	FC Bayern München	
491	Marko Dević	FC Shakhtar Donetsk	null	null	null	
490	Ilsinho	FC Shakhtar Donetsk	FC Shakhtar Donetsk	FC Shakhtar Donetsk	null	
489	Yaroslav Rakitskiy	FC Shakhtar Donetsk	FC Shakhtar Donetsk	FC Shakhtar Donetsk	FC Shakhtar Donetsk	
488	Darijo Srna	FC Shakhtar Donetsk	FC Shakhtar Donetsk	FC Shakhtar Donetsk	FC Shakhtar Donetsk	
487	Răzvan Raţ	FC Shakhtar Donetsk	null	null	null	
486	Henrik Mkhitaryan	FC Shakhtar Donetsk	null	null	null	
485	Willian	FC Shakhtar Donetsk	Chelsea FC	Chelsea FC	Chelsea FC	
484	Luiz Adriano	FC Shakhtar Donetsk	FC Shakhtar Donetsk	FC Shakhtar Donetsk	null	
483	Fernandinho	FC Shakhtar Donetsk	Manchester City FC	Manchester City FC	Manchester City FC	
482	Olexandr Kucher	FC Shakhtar Donetsk	FC Shakhtar Donetsk	FC Shakhtar Donetsk	FC Shakhtar Donetsk	
481	Tomáš Hübschman	FC Shakhtar Donetsk	FC Shakhtar Donetsk	null	null	
480	Andriy Pyatov	FC Shakhtar Donetsk	FC Shakhtar Donetsk	FC Shakhtar Donetsk	FC Shakhtar Donetsk	
479	Mauricio Isla	Juventus	Juventus	null	null	
478	Alessandro Matri	Juventus	AC Milan	Juventus	null	
477	Fabio Quagliarella	Juventus	Juventus	null	null	
476	Stephan Lichtsteiner	Juventus	Juventus	Juventus	Juventus	
475	Arturo Vidal	Juventus	Juventus	Juventus	FC Bayern München	
474	Kwadwo Asamoah	Juventus	Juventus	Juventus	null	
473	Andrea Pirlo	Juventus	Juventus	Juventus	null	
472	Leonardo Bonucci	Juventus	Juventus	Juventus	Juventus	
471	Andrea Barzagli	Juventus	Juventus	Juventus	Juventus	
470	Sebastian Giovinco	Juventus	Juventus	Juventus	null	
469	Mirko Vučinić	Juventus	Juventus	null	null	
468	Claudio Marchisio	Juventus	Juventus	Juventus	Juventus	
467	Giorgio Chiellini	Juventus	Juventus	Juventus	Juventus	
466	Gianluigi Buffon	Juventus	Juventus	Juventus	Juventus	
465	Ryan Bertrand	Chelsea FC	null	null	null	
464	Juan Mata	Chelsea FC	Chelsea FC	null	Manchester United FC	
463	John Terry	Chelsea FC	Chelsea FC	Chelsea FC	Chelsea FC	
462	Eden Hazard	Chelsea FC	Chelsea FC	Chelsea FC	Chelsea FC	
461	John Obi Mikel	Chelsea FC	Chelsea FC	Chelsea FC	Chelsea FC	
460	Oscar	Chelsea FC	Chelsea FC	Chelsea FC	Chelsea FC	
459	Fernando Torres	Chelsea FC	Chelsea FC	Club Atlético de Madrid	Club Atlético de Madrid	
458	Frank Lampard	Chelsea FC	Chelsea FC	Manchester City FC	null	
457	Ramires	Chelsea FC	Chelsea FC	Chelsea FC	Chelsea FC	
456	David Luiz	Chelsea FC	Chelsea FC	Paris Saint-Germain	Paris Saint-Germain	
455	Ashley Cole	Chelsea FC	Chelsea FC	AS Roma	null	
454	Branislav Ivanović	Chelsea FC	Chelsea FC	Chelsea FC	Chelsea FC	
453	Petr Čech	Chelsea FC	Chelsea FC	Chelsea FC	Arsenal FC	
452	Aleksandar Kolarov	Manchester City FC	Manchester City FC	Manchester City FC	Manchester City FC	
451	Edin Džeko	Manchester City FC	Manchester City FC	Manchester City FC	AS Roma	
450	Pablo Zabaleta	Manchester City FC	Manchester City FC	Manchester City FC	Manchester City FC	
449	Yaya Touré	Manchester City FC	Manchester City FC	Manchester City FC	Manchester City FC	
448	Matija Nastasić	Manchester City FC	Manchester City FC	FC Schalke 04	null	
447	Carlos Tévez	Manchester City FC	Juventus	Juventus	null	
446	Gaël Clichy	Manchester City FC	Manchester City FC	Manchester City FC	Manchester City FC	
445	David Silva	Manchester City FC	Manchester City FC	Manchester City FC	Manchester City FC	
444	Gareth Barry	Manchester City FC	null	null	null	
443	Javi García	Manchester City FC	Manchester City FC	FC Zenit	FC Zenit	
442	Samir Nasri	Manchester City FC	Manchester City FC	Manchester City FC	Manchester City FC	
441	Vincent Kompany	Manchester City FC	Manchester City FC	Manchester City FC	Manchester City FC	
440	Maicon	Manchester City FC	null	null	null	
439	Joe Hart	Manchester City FC	Manchester City FC	Manchester City FC	Manchester City FC	
438	Luka Modrić	Real Madrid CF	Real Madrid CF	Real Madrid CF	Real Madrid CF	
437	Mesut Özil	Real Madrid CF	Arsenal FC	Arsenal FC	Arsenal FC	
436	Karim Benzema	Real Madrid CF	Real Madrid CF	Real Madrid CF	Real Madrid CF	
435	Ángel Di María	Real Madrid CF	Real Madrid CF	null	Paris Saint-Germain	
434	Gonzalo Higuaín	Real Madrid CF	SSC Napoli	SSC Napoli	null	
433	Álvaro Arbeloa	Real Madrid CF	Real Madrid CF	Real Madrid CF	Real Madrid CF	
432	Michael Essien	Real Madrid CF	AC Milan	null	null	
